route_id,unique_id,service_start_date,update_origin,train_platform,working_time_arrival,working_time_departure,planned_time_arrival,planned_time_departure,platform,train_length,actual_arrival_time,actual_departure_time,is_delayed_arrival,is_delayed_departure,StationName,Easting,Northing
202307287155919,G55919,2023-07-28,CIS,PRINRIS,2023-07-28 15:50:30,2023-07-28 15:52:00,2023-07-28 15:51:00,2023-07-28 15:52:00,3,5,2023-07-28 15:51:00,2023-07-28 15:52:00,False,False,Princes Risborough Rail Station,479964.0,202758.0
202307287155919,G55919,2023-07-28,CIS,BCSTRTN,2023-07-28 16:10:00,2023-07-28 16:12:00,2023-07-28 16:10:00,2023-07-28 16:12:00,1,5,2023-07-28 16:10:00,2023-07-28 16:12:00,False,False,Bicester Village Rail Station,458675.0,221950.0
202307287155919,G55919,2023-07-28,CIS,OXFPWAY,2023-07-28 16:20:00,2023-07-28 16:21:00,2023-07-28 16:20:00,2023-07-28 16:21:00,1,5,2023-07-28 16:20:00,2023-07-28 16:21:00,False,False,Oxford Parkway Rail Station,450122.0,211963.0
202307278000483,P00483,2023-07-27,TD,BRNMONC,2023-07-27 20:41:00,2023-07-27 20:41:30,2023-07-27 20:41:00,2023-07-27 20:41:00,1,5,2023-07-27 20:41:00,2023-07-27 20:41:00,False,False,Burnham-on-Crouch Rail Station,594842.0,196511.0
202307277195808,G95808,2023-07-27,Darwin,FLKSTNW,2023-07-27 17:38:30,2023-07-27 17:39:30,2023-07-27 17:39:00,2023-07-27 17:39:00,2,4,2023-07-27 17:40:00,2023-07-27 17:41:00,False,False,Folkestone West Rail Station,620985.0,136428.0
202307277195808,G95808,2023-07-27,Darwin,FLKSTNC,2023-07-27 17:41:00,2023-07-27 17:42:00,2023-07-27 17:41:00,2023-07-27 17:42:00,2,4,2023-07-27 17:42:00,2023-07-27 17:43:00,False,False,Folkestone Central Rail Station,622084.0,136286.0
202307277195808,G95808,2023-07-27,Darwin,DOVERP,2023-07-27 17:52:30,2023-07-27 17:55:00,2023-07-27 17:53:00,2023-07-27 17:55:00,2,4,2023-07-27 17:53:00,2023-07-27 17:55:00,False,False,Dover Priory Rail Station,631380.0,141464.0
202307277683193,L83193,2023-07-27,TD,HYWRDSH,2023-07-27 00:08:00,2023-07-27 00:10:00,2023-07-27 00:08:00,2023-07-27 00:10:00,1,8,2023-07-27 00:08:00,2023-07-27 00:10:00,False,False,Haywards Heath Rail Station,533045.0,124630.0
202307277674768,L74768,2023-07-27,CIS,WALMER,2023-07-27 22:31:00,2023-07-27 22:32:00,2023-07-27 22:31:00,2023-07-27 22:32:00,1,6,2023-07-27 22:31:00,2023-07-27 22:32:00,False,False,Walmer Rail Station,636410.0,150340.0
202307277686668,L86668,2023-07-27,TD,BALHAM,2023-07-27 23:48:00,2023-07-27 23:48:30,2023-07-27 23:48:00,2023-07-27 23:48:00,3,4,2023-07-27 23:48:00,2023-07-27 23:48:00,False,False,Balham Rail Station,528500.0,173200.0
202307288069716,P69716,2023-07-28,CIS,WATFDN,2023-07-28 05:53:00,2023-07-28 05:54:00,2023-07-28 05:53:00,2023-07-28 05:54:00,1,4,2023-07-28 05:53:00,2023-07-28 05:54:00,False,False,Watford North Rail Station,511426.0,198664.0
202307278354807,S54807,2023-07-27,Darwin,GERRDSX,2023-07-27 18:41:00,2023-07-27 18:42:30,2023-07-27 18:41:00,2023-07-27 18:42:00,1,3,2023-07-27 18:49:00,2023-07-27 18:50:00,False,False,Gerrards Cross Rail Station,500184.0,188785.0
202307278354807,S54807,2023-07-27,Darwin,BCNSFLD,2023-07-27 18:48:00,2023-07-27 18:49:00,2023-07-27 18:48:00,2023-07-27 18:49:00,2,3,2023-07-27 18:55:00,2023-07-27 18:56:00,False,False,Beaconsfield Rail Station,494004.0,191144.0
202307278354807,S54807,2023-07-27,Darwin,HWYCOMB,2023-07-27 18:54:30,2023-07-27 18:56:30,2023-07-27 18:55:00,2023-07-27 18:56:00,2,3,2023-07-27 19:02:00,2023-07-27 19:03:00,False,False,High Wycombe Rail Station,486935.0,193053.0
202307278354807,S54807,2023-07-27,Darwin,PRINRIS,2023-07-27 19:06:30,2023-07-27 19:09:30,2023-07-27 19:07:00,2023-07-27 19:09:00,2,3,2023-07-27 19:13:00,2023-07-27 19:14:00,False,False,Princes Risborough Rail Station,479964.0,202758.0
202307278024592,P24592,2023-07-27,TD,KEWGRDN,2023-07-27 17:46:00,2023-07-27 17:46:30,2023-07-27 17:46:00,2023-07-27 17:46:00,1,5,2023-07-27 17:50:00,2023-07-27 17:51:00,False,False,Kew Gardens Rail Station,519195.0,176740.0
202307278024592,P24592,2023-07-27,TD,GNRSBRY,2023-07-27 17:49:00,2023-07-27 17:49:30,2023-07-27 17:49:00,2023-07-27 17:49:00,2,5,2023-07-27 17:53:00,2023-07-27 17:54:00,False,False,Gunnersbury Rail Station,519835.0,178380.0
202307278024592,P24592,2023-07-27,TD,SACTON,2023-07-27 17:51:30,2023-07-27 17:52:00,2023-07-27 17:52:00,2023-07-27 17:52:00,2,5,2023-07-27 17:56:00,2023-07-27 17:56:00,False,False,South Acton Rail Station,520170.0,179280.0
202307278024592,P24592,2023-07-27,TD,ACTNCTL,2023-07-27 17:54:00,2023-07-27 17:55:00,2023-07-27 17:54:00,2023-07-27 17:55:00,2,5,2023-07-27 17:58:00,2023-07-27 17:59:00,False,False,Acton Central Rail Station,520645.0,180295.0
202307278024592,P24592,2023-07-27,TD,WLSDJHL,2023-07-27 17:59:30,2023-07-27 18:01:30,2023-07-27 18:00:00,2023-07-27 18:01:00,4,5,2023-07-27 18:03:00,2023-07-27 18:04:00,False,False,Willesden Junction Rail Station,521860.0,182970.0
202307278024592,P24592,2023-07-27,TD,KENR,2023-07-27 18:03:30,2023-07-27 18:04:00,2023-07-27 18:04:00,2023-07-27 18:04:00,2,5,2023-07-27 18:06:00,2023-07-27 18:07:00,False,False,Kensal Rise Rail Station,523560.0,183240.0
202307278024592,P24592,2023-07-27,TD,BRBYPK,2023-07-27 18:05:30,2023-07-27 18:06:00,2023-07-27 18:06:00,2023-07-27 18:06:00,2,5,2023-07-27 18:08:00,2023-07-27 18:09:00,False,False,Brondesbury Park Rail Station,524225.0,183940.0
202307278024592,P24592,2023-07-27,TD,BRBY,2023-07-27 18:07:00,2023-07-27 18:07:30,2023-07-27 18:07:00,2023-07-27 18:07:00,2,5,2023-07-27 18:10:00,2023-07-27 18:10:00,False,False,Brondesbury Rail Station,524755.0,184450.0
202307278024592,P24592,2023-07-27,TD,WHMDSTD,2023-07-27 18:08:30,2023-07-27 18:09:30,2023-07-27 18:09:00,2023-07-27 18:09:00,2,5,2023-07-27 18:11:00,2023-07-27 18:12:00,False,False,West Hampstead Rail Station,525520.0,184725.0
202307278024592,P24592,2023-07-27,TD,FNCHLYR,2023-07-27 18:10:30,2023-07-27 18:11:00,2023-07-27 18:11:00,2023-07-27 18:11:00,2,5,2023-07-27 18:13:00,2023-07-27 18:13:00,False,False,Finchley Road & Frognal Rail Station,526070.0,185050.0
202307278024592,P24592,2023-07-27,TD,HMPSTDH,2023-07-27 18:13:00,2023-07-27 18:13:30,2023-07-27 18:13:00,2023-07-27 18:13:00,2,5,2023-07-27 18:15:00,2023-07-27 18:16:00,False,False,Hampstead Heath Rail Station,527265.0,185630.0
202307278024592,P24592,2023-07-27,TD,GOSPLOK,2023-07-27 18:15:30,2023-07-27 18:16:30,2023-07-27 18:16:00,2023-07-27 18:16:00,2,5,2023-07-27 18:18:00,2023-07-27 18:18:00,False,False,Gospel Oak Rail Station,528300.0,185670.0
202307278024592,P24592,2023-07-27,TD,KNTSHTW,2023-07-27 18:18:00,2023-07-27 18:18:30,2023-07-27 18:18:00,2023-07-27 18:18:00,2,5,2023-07-27 18:20:00,2023-07-27 18:20:00,False,False,Kentish Town West Rail Station,528610.0,184700.0
