"Table 1410: Passenger entries, exits and interchanges by station (annual), Great Britain, April 2022 to March 2023",,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,
"Some shorthand is used in this table, [x] = data not available, [z] = data not applicable",,,,,,,,,,,,,,,,,,,
Station name,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,Entries and exits - All tickets,"Entries and exits
Rank",Interchanges,Main origin or destination station,Number of journeys to or from main origin or destination station,Quality limitations,Additional information,Data source or adjustments,Estimates supplemented by local ticketing data – by retailing organisation,National Location Code (NLC),"Three Letter Code
(TLC)",Region,Station facility owner,Station group,,
Conwy,"28,706","21,834","2,028","52,568","1,933",0,Bangor (Gwynedd),"11,572",[z],[z],[z],[z],2486,CNW,Wales,TfW Rail,[z],,
Cooden Beach,"18,768","65,686","12,970","97,424","1,648",0,Eastbourne,"21,614",[z],[z],[z],[z],5458,COB,South East,Govia Thameslink Railway (Southern),[z],,
Cookham,"55,220","67,574","28,808","151,602","1,411",0,London Paddington,"60,860",[z],[z],EL,[z],3019,COO,South East,Great Western Railway,[z],,
Cooksbridge,"22,506","27,942","11,772","62,220","1,855",0,London Victoria,"17,688",[z],[z],Other,[z],5336,CBR,South East,Govia Thameslink Railway (Southern),[z],,
Coombe Junction Halt,14,106,0,120,"2,570",0,Plymouth,52,[z],[z],[z],[z],3570,COE,South West,Great Western Railway,[z],,
Copplestone,"12,498","12,072","5,810","30,380","2,111",0,Exeter Central,"13,014",[z],[z],[z],[z],5821,COP,South West,Great Western Railway,[z],,
Corbridge,"11,242","41,252","3,174","55,668","1,905",0,Newcastle,"33,820",[z],[z],[z],[z],7504,CRB,North East,Northern Trains,[z],,
Corby,"60,470","305,026","36,748","402,244",863,146,London St Pancras International,"207,806",[z],[z],[z],[z],1847,COR,East Midlands,East Midlands Railway,[z],,
Corfe Castle,[x],[x],[x],[x],[x],[x],[x],[x],[z],[z],[z],[z],7765,CFC,South West,Swanage Railway,[z],,
Corkerhill,"57,652","105,842","20,502","183,996","1,295",0,Glasgow Central,"114,716",[z],[z],PTE,Strathclyde Partnership for Transport,9627,CKH,Scotland,ScotRail,[z],,
Corkickle,"22,618","19,742","8,708","51,068","1,942",0,Sellafield,"19,172",[z],[z],[z],[z],2049,CKL,North West,Northern Trains,[z],,
Corpach,"1,690","1,168",0,"2,858","2,451",0,Glenfinnan,880,[z],[z],[z],[z],8824,CPA,Scotland,ScotRail,[z],,
Corrour,"8,560","5,548",0,"14,108","2,271",0,Fort William,"2,800",[z],[z],CS,[z],8825,CRR,Scotland,ScotRail,[z],,
Coryton,"39,520","1,868","12,496","53,884","1,922",0,Cardiff Central,"16,766",Possible overestimate. Estimates likely to be artificially high due to end of fare zone issues,[z],[z],[z],3905,COY,Wales,TfW Rail,[z],,
Coseley,"137,752","221,462","156,982","516,196",760,0,Birmingham New Street,"284,348",[z],[z],PTE,Transport for West Midlands,1143,CSY,West Midlands,West Midlands Trains (West Midlands Railway),[z],,
Cosford,"20,510","35,430","6,412","62,352","1,854",0,Birmingham New Street,"12,086",[z],[z],PTE,[z],4617,COS,West Midlands,West Midlands Trains (West Midlands Railway),[z],,
Cosham,"232,276","451,536","81,346","765,158",568,0,Portsmouth and Southsea,"93,944",[z],[z],[z],[z],5896,CSA,South East,South Western Railway,[z],,
Cottingham,"31,070","135,528","43,956","210,554","1,224",0,Hull,"82,224",[z],[z],[z],[z],8056,CGM,Yorkshire and The Humber,Northern Trains,[z],,
Cottingley,"25,550","22,104","13,762","61,416","1,863",0,Leeds,"41,422",[z],[z],PTE,West Yorkshire Metro,8505,COT,Yorkshire and The Humber,Northern Trains,[z],,
Coulsdon South,"617,572","689,588","248,594","1,555,754",300,0,London Bridge,"346,432",[z],[z],[z],[z],5408,CDS,London,Govia Thameslink Railway (Southern),[z],,
Coulsdon Town,"33,310","55,690","10,896","99,896","1,637",0,London Bridge,"36,740",[z],[z],[z],[z],5382,CDN,London,Govia Thameslink Railway (Southern),[z],,
Coventry,"1,494,346","3,645,114","837,198","5,976,658",62,"344,911",Birmingham New Street,"2,146,702",[z],[z],PTE,Transport for West Midlands,1030,COV,West Midlands,Avanti West Coast,[z],,
Coventry Arena,"45,324","59,780","2,556","107,660","1,591",0,Coventry,"30,878",[z],[z],[z],Transport for West Midlands,7416,CAA,West Midlands,West Midlands Trains (West Midlands Railway),[z],,
Cowden (Kent),"13,856","17,128","10,128","41,112","2,010",0,London Bridge,"27,012",[z],[z],[z],[z],5409,CWN,South East,Govia Thameslink Railway (Southern),[z],,
Cowdenbeath,"37,876","51,578","4,624","94,078","1,661",0,Edinburgh,"51,120",[z],[z],[z],[z],9185,COW,Scotland,ScotRail,[z],,
Cradley Heath,"129,306","240,036","170,148","539,490",737,0,Birmingham Moor Street,"206,974",[z],[z],PTE,Transport for West Midlands,4639,CRA,West Midlands,West Midlands Trains (West Midlands Railway),[z],,
Craigendoran,"26,700","47,470","67,534","141,704","1,450",0,Cardross,"49,594",[z],[z],PTE,Strathclyde Partnership for Transport,9970,CGD,Scotland,ScotRail,[z],,
Cramlington,"59,120","64,198","10,516","133,834","1,479",0,Newcastle,"94,538",[z],[z],[z],[z],7579,CRM,North East,Northern Trains,[z],,
Cranbrook (Devon),"17,874","73,564","11,800","103,238","1,617",0,Exeter Central,"56,594",[z],[z],[z],[z],9850,CBK,South West,South Western Railway,[z],,
Craven Arms,"42,962","37,170","12,868","93,000","1,668","1,850",Shrewsbury,"23,020",[z],[z],[z],[z],3634,CRV,West Midlands,TfW Rail,[z],,
Crawley,"348,554","609,188","203,008","1,160,750",386,"3,065",Horsham,"213,760",[z],[z],[z],[z],5484,CRW,South East,Govia Thameslink Railway (Southern),[z],,
Crayford,"389,274","400,546","174,948","964,768",467,0,London Bridge,"250,166",[z],[z],[z],[z],5100,CRY,London,Southeastern,[z],,
Crediton,"84,768","34,308","14,100","133,176","1,481",0,Exeter Central,"51,238",[z],[z],[z],[z],5754,CDI,South West,Great Western Railway,[z],,
Cressing (Essex),"11,012","15,626","12,656","39,294","2,031",0,London Liverpool Street,"15,052",[z],[z],[z],[z],6837,CES,East of England,Greater Anglia,[z],,
Cressington,"79,432","286,070","118,672","484,174",798,0,Liverpool Central,"198,422",[z],[z],PTE,Merseytravel,2225,CSG,North West,Merseyrail,[z],,
Creswell,"19,688","15,054","2,336","37,078","2,051",0,Nottingham,"10,694",[z],[z],[z],[z],1874,CWD,East Midlands,East Midlands Railway,[z],,
Crewe,"611,818","2,180,186","130,750","2,922,754",156,"1,072,874",London Euston,"643,310",[z],[z],[z],[z],1243,CRE,North West,Avanti West Coast,[z],,
Crewkerne,"10,976","105,606","40,980","157,562","1,388",0,London Waterloo,"47,272",[z],[z],[z],[z],5832,CKN,South West,South Western Railway,[z],,
Crews Hill,"32,134","57,832","13,982","103,948","1,612",0,Finsbury Park,"17,766",[z],[z],[z],[z],6007,CWH,London,Govia Thameslink Railway (Great Northern),[z],,
Crianlarich,"5,580","7,790",0,"13,370","2,287","64,981",Oban,"2,792",[z],[z],CS,[z],8826,CNR,Scotland,ScotRail,[z],,
Criccieth,"17,998","7,450",770,"26,218","2,143",0,Pwllheli,"6,478",[z],[z],Other,[z],4312,CCC,Wales,TfW Rail,[z],,
Cricklewood,"255,192","424,688","140,822","820,702",535,0,London St Pancras International,"138,522",[z],[z],EL,[z],1519,CRI,London,Govia Thameslink Railway (Thameslink),[z],,
Croftfoot,"42,162","110,076","33,254","185,492","1,291",0,Glasgow Central,"129,910",[z],[z],PTE,Strathclyde Partnership for Transport,9778,CFF,Scotland,ScotRail,[z],,
Crofton Park,"237,928","269,212","68,776","575,916",690,0,London Blackfriars,"109,218",[z],[z],[z],[z],5078,CFT,London,Govia Thameslink Railway (Thameslink),[z],,
Cromer,"64,612","167,042","12,640","244,294","1,133",0,Norwich,"93,370",[z],[z],[z],[z],7295,CMR,East of England,Greater Anglia,[z],,
Cromford,"11,880","21,850","1,598","35,328","2,064",0,Derby,"12,578",[z],[z],[z],[z],1822,CMF,East Midlands,East Midlands Railway,[z],,
Crookston,"49,576","81,724","17,330","148,630","1,422",0,Glasgow Central,"99,966",[z],[z],PTE,Strathclyde Partnership for Transport,9628,CKT,Scotland,ScotRail,[z],,
Cross Gates,"175,420","140,976","70,976","387,372",881,0,Leeds,"227,386",[z],[z],PTE,West Yorkshire Metro,8473,CRG,Yorkshire and The Humber,Northern Trains,[z],,
Crossflatts,"94,706","143,504","137,356","375,566",894,0,Leeds,"163,306",[z],[z],PTE,West Yorkshire Metro,8554,CFL,Yorkshire and The Humber,Northern Trains,[z],,
Crosshill,"51,444","123,138","37,396","211,978","1,220",0,Glasgow Central,"132,034",[z],[z],PTE,Strathclyde Partnership for Transport,9814,COI,Scotland,ScotRail,[z],,
Crosskeys,"60,952","2,370","8,750","72,072","1,787",0,Cardiff Central,"37,920",[z],[z],[z],[z],9902,CKY,Wales,TfW Rail,[z],,
Crossmyloof,"209,796","363,596","43,812","617,204",663,0,Glasgow Central,"446,284",[z],[z],PTE,Strathclyde Partnership for Transport,9796,CMY,Scotland,ScotRail,[z],,
Croston,"15,862","19,458","3,438","38,758","2,037",0,Preston (Lancs),"20,612",[z],[z],[z],[z],2313,CSO,North West,Northern Trains,[z],,
Crouch Hill,"227,328","333,288","165,870","726,486",591,0,Barking,"98,892",[z],[z],[z],[z],7406,CRH,London,London Overground,[z],,
Crowborough,"74,686","80,058","72,394","227,138","1,183",0,London Bridge,"150,054",[z],[z],Season,[z],5325,COH,South East,Govia Thameslink Railway (Southern),[z],,
Crowhurst,"6,966","16,250","13,228","36,444","2,057",0,Hastings,"12,968",[z],[z],[z],[z],5233,CWU,South East,Southeastern,[z],,
Crowle,"1,284","3,574",912,"5,770","2,387",0,Doncaster,"1,632",[z],[z],[z],[z],6524,CWE,Yorkshire and The Humber,Northern Trains,[z],,
Crowthorne,"63,708","100,864","26,228","190,800","1,277",0,Reading,"66,736",[z],[z],[z],[z],5628,CRN,South East,Great Western Railway,[z],,
Croy,"347,766","595,720","117,186","1,060,672",430,0,Glasgow Queen Street,"673,780",[z],[z],PTE,Strathclyde Partnership for Transport,9943,CRO,Scotland,ScotRail,[z],,
Crystal Palace,"783,956","1,273,094","354,954","2,412,004",192,"114,639",Canada Water,"435,200",[z],[z],EL,[z],5356,CYP,London,London Overground,[z],,
Cuddington,"23,392","33,042","9,630","66,064","1,822",0,Chester,"17,622",[z],[z],[z],[z],2305,CUD,North West,Northern Trains,[z],,
Cuffley,"233,026","279,252","57,542","569,820",696,0,Moorgate,"124,354",[z],[z],EL,[z],6008,CUF,East of England,Govia Thameslink Railway (Great Northern),[z],,
Culham,"33,302","21,012","26,438","80,752","1,733",0,Oxford,"35,826",[z],[z],[z],[z],3107,CUM,South East,Great Western Railway,[z],,
Culrain,216,88,0,304,"2,556",0,Inverness,156,[z],[z],[z],[z],8625,CUA,Scotland,ScotRail,[z],,
Cumbernauld,"61,462","65,442","13,188","140,092","1,458","3,445",Glasgow Queen Street,"47,236",[z],[z],PTE,Strathclyde Partnership for Transport,9721,CUB,Scotland,ScotRail,[z],,
Cupar,"46,902","72,180","3,076","122,158","1,514",0,Edinburgh,"50,488",[z],[z],[z],[z],9121,CUP,Scotland,ScotRail,[z],,
Curriehill,"40,756","24,676","3,860","69,292","1,802",0,Edinburgh,"35,660",[z],[z],[z],[z],9218,CUH,Scotland,ScotRail,[z],,
Custom House,"1,540,304","2,915,130","817,064","5,272,498",80,0,Tottenham Court Road,"1,170,244",[z],"New station, opened 24 May 2022",EL,[z],6561,CUS,London,Elizabeth line,[z],,
Cuxton,"20,592","14,976","13,032","48,600","1,953",0,Strood (Kent),"10,238",[z],[z],[z],[z],5201,CUX,South East,Southeastern,[z],,
Cwmbach,"25,934",982,"6,078","32,994","2,084",0,Cardiff Central,"8,230",[z],[z],[z],[z],3981,CMH,Wales,TfW Rail,[z],,
Cwmbran,"213,528","82,926","56,602","353,056",931,0,Cardiff Central,"172,096",[z],[z],[z],[z],3738,CWM,Wales,TfW Rail,[z],,
Cynghordy,752,360,0,"1,112","2,504",0,Llandovery,206,[z],[z],[z],[z],4147,CYN,Wales,TfW Rail,[z],,
Dagenham Dock,"159,066","161,508","65,896","386,470",882,0,West Ham,"104,264",[z],[z],EL,[z],7440,DDK,London,c2c,[z],,
Daisy Hill,"65,302","59,940","36,046","161,288","1,379",0,Manchester Victoria,"96,760",[z],[z],PTE,Transport for Greater Manchester,2777,DSY,North West,Northern Trains,[z],,
Dalgety Bay,"57,282","72,678","13,462","143,422","1,438",0,Edinburgh,"90,664",[z],[z],[z],[z],9135,DAG,Scotland,ScotRail,[z],,
Dalmally,"2,130","1,358","10,144","13,632","2,278",0,Oban,"11,542",[z],[z],[z],[z],8711,DAL,Scotland,ScotRail,[z],,
Dalmarnock,"73,588","158,668","23,282","255,538","1,113",0,Glasgow Central,"77,452",[z],[z],PTE,Strathclyde Partnership for Transport,9790,DAK,Scotland,ScotRail,[z],,
Dalmeny,"109,398","189,398","43,532","342,328",943,0,Edinburgh,"228,944",[z],[z],[z],[z],9415,DAM,Scotland,ScotRail,[z],,
Dalmuir,"183,722","269,272","108,538","561,532",707,"16,150",Glasgow Queen Street,"117,360",[z],[z],PTE,Strathclyde Partnership for Transport,9992,DMR,Scotland,ScotRail,[z],,
Dalreoch,"45,380","73,492","60,628","179,500","1,310",0,Glasgow Queen Street,"52,658",[z],[z],PTE,Strathclyde Partnership for Transport,9864,DLR,Scotland,ScotRail,[z],,
Dalry,"43,222","77,204","18,314","138,740","1,464",0,Glasgow Central,"69,786",[z],[z],PTE,Strathclyde Partnership for Transport,9483,DLY,Scotland,ScotRail,[z],,
Dalston (Cumbria),"7,226","17,630","12,544","37,400","2,047",0,Carlisle,"28,514",[z],[z],[z],[z],2077,DLS,North West,Northern Trains,[z],,
Dalston Junction,"1,348,922","3,142,966","540,582","5,032,470",84,0,Highbury and Islington,"955,182",[z],[z],EL,[z],1443,DLJ,London,London Overground,[z],,
Dalston Kingsland,"1,167,496","2,681,172","715,546","4,564,214",89,0,Highbury and Islington,"1,194,092",[z],[z],[z],[z],1429,DLK,London,London Overground,[z],,
Dalton (Cumbria),"12,958","45,564","10,274","68,796","1,805",0,Lancaster,"13,458",[z],[z],[z],[z],1957,DLT,North West,Northern Trains,[z],,
Dalwhinnie,"1,566","1,266",0,"2,832","2,452",0,Edinburgh,670,[z],[z],CS,[z],8628,DLW,Scotland,ScotRail,[z],,
Danby,532,"4,540",524,"5,596","2,390",0,Whitby,"2,742",[z],[z],[z],[z],7915,DNY,Yorkshire and The Humber,Northern Trains,[z],,
Danescourt,"32,088","1,628","6,158","39,874","2,026",0,Cardiff Central,"18,652",[z],[z],[z],[z],3797,DCT,Wales,TfW Rail,[z],,
Danzey,"2,250","2,504",106,"4,860","2,401",0,Stratford-Upon-Avon,"1,244",[z],[z],PTE,[z],4519,DZY,West Midlands,West Midlands Trains (West Midlands Railway),[z],,
Darlington,"273,978","1,828,246","117,454","2,219,678",215,"471,935",London Kings Cross,"425,558",[z],[z],[z],[z],7877,DAR,North East,London North Eastern Railway,[z],,
Darnall,"7,774","6,036","3,044","16,854","2,241",0,Sheffield,"5,202",[z],[z],PTE,South Yorkshire,6729,DAN,Yorkshire and The Humber,Northern Trains,[z],,
Darsham,"8,226","45,698","2,040","55,964","1,901",0,London Liverpool Street,"31,406",[z],[z],Other,[z],7211,DSM,East of England,Greater Anglia,[z],,
Dartford,"1,375,332","2,105,100","510,642","3,991,074",111,"403,801",London Bridge,"630,232",[z],[z],EL,[z],5101,DFD,South East,Southeastern,[z],,
Darton,"47,318","35,190","19,022","101,530","1,627",0,Leeds,"28,950",[z],[z],PTE,South Yorkshire,8420,DRT,Yorkshire and The Humber,Northern Trains,[z],,
Darwen,"63,958","165,068","40,120","269,146","1,074",0,Manchester Victoria,"83,210",[z],[z],[z],[z],2576,DWN,North West,Northern Trains,[z],,
Datchet,"71,200","117,940","28,674","217,814","1,205",0,London Waterloo,"71,634",[z],[z],[z],[z],5668,DAT,South East,South Western Railway,[z],,
Davenport,"95,208","77,296","60,170","232,674","1,164",0,Manchester Piccadilly,"134,188",[z],[z],PTE,Transport for Greater Manchester,2770,DVN,North West,Northern Trains,[z],,
Dawlish,"80,168","344,098","86,308","510,574",766,0,Exeter Central,"123,406",[z],[z],[z],[z],3408,DWL,South West,Great Western Railway,[z],,
Dawlish Warren,"27,076","198,138","7,846","233,060","1,162",0,Exeter Central,"34,212",[z],[z],[z],[z],3409,DWW,South West,Great Western Railway,[z],,
Deal,"66,352","278,254","83,018","427,624",840,0,London St Pancras International,"139,028",[z],[z],[z],[z],5011,DEA,South East,Southeastern,[z],,
Dean (Wilts),"3,876","20,658","3,696","28,230","2,128",0,Salisbury,"11,680",[z],[z],[z],[z],5942,DEN,South West,South Western Railway,[z],,
Deansgate,"198,570","690,136","79,384","968,090",465,0,Liverpool Lime Street,"151,356",[z],[z],"Group, HEx",Transport for Greater Manchester,2963,DGT,North West,Northern Trains,MANCHESTER BR,,
Deganwy,"9,006","4,032","2,048","15,086","2,257",0,Llandudno,"6,302",[z],[z],[z],[z],2480,DGY,Wales,TfW Rail,[z],,
Deighton,"20,342","27,940","13,820","62,102","1,857",0,Leeds,"34,760",[z],[z],PTE,West Yorkshire Metro,8441,DHN,Yorkshire and The Humber,Northern Trains,[z],,
Delamere,"14,640","31,482","2,760","48,882","1,952",0,Chester,"20,614",[z],[z],[z],[z],2306,DLM,North West,Northern Trains,[z],,
Denby Dale,"46,962","30,904","22,218","100,084","1,634",0,Huddersfield,"28,044",[z],[z],PTE,West Yorkshire Metro,8432,DBD,Yorkshire and The Humber,Northern Trains,[z],,
Denham,"79,448","53,416","43,228","176,092","1,322",0,London Marylebone,"129,446",[z],[z],[z],[z],3052,DNM,South East,Chiltern Railways,[z],,
Denham Golf Club,"10,706","7,776","2,154","20,636","2,205",0,London Marylebone,"13,510",[z],[z],[z],[z],3060,DGC,South East,Chiltern Railways,[z],,
Denmark Hill,"2,058,794","2,386,948","1,108,578","5,554,320",68,"482,855",London Victoria,"689,494",[z],[z],[z],[z],5421,DMK,London,Govia Thameslink Railway (Thameslink),[z],,
Dent,"1,084","8,152",0,"9,236","2,340",0,Settle,"2,250",[z],[z],[z],[z],2103,DNT,North West,Northern Trains,[z],,
Denton,16,18,0,34,"2,574",0,Stockport,12,[z],[z],[z],Transport for Greater Manchester,2855,DTN,North West,Northern Trains,[z],,
Deptford,"405,260","689,268","381,232","1,475,760",308,0,London Bridge,"513,918",[z],[z],[z],[z],5145,DEP,London,Southeastern,[z],,
Derby,"701,488","2,523,128","152,688","3,377,304",132,"403,208",Birmingham New Street,"434,080",[z],[z],Other,[z],1823,DBY,East Midlands,East Midlands Railway,[z],,
Derby Road (Ipswich),"22,120","44,434","6,644","73,198","1,773",0,Felixstowe,"31,920",[z],[z],[z],[z],7212,DBR,East of England,Greater Anglia,[z],,
Devonport,"8,982","16,538","9,450","34,970","2,067",0,Plymouth,"8,334",[z],[z],[z],[z],3579,DPT,South West,Great Western Railway,[z],,
Dewsbury,"399,126","432,058","200,658","1,031,842",442,0,Leeds,"410,992",[z],[z],PTE,West Yorkshire Metro,8326,DEW,Yorkshire and The Humber,TransPennine Express,[z],,
Didcot Parkway,"409,126","1,444,234","476,344","2,329,704",204,"545,574",London Paddington,"956,756",[z],[z],Season,[z],3030,DID,South East,Great Western Railway,[z],,
Digby and Sowton,"231,484","75,528","583,968","890,980",507,0,Exeter Central,"125,270",[z],[z],D&S,[z],5753,DIG,South West,Great Western Railway,[z],,
Dilton Marsh,"6,258","4,218","1,600","12,076","2,300",0,Bath Spa,"2,772",[z],[z],[z],[z],5502,DMH,South West,Great Western Railway,[z],,
Dinas (Rhondda),"23,686",968,"4,798","29,452","2,118",0,Cardiff Central,"11,966",[z],[z],[z],[z],3901,DMG,Wales,TfW Rail,[z],,
Dinas Powys,"58,030","5,388","8,102","71,520","1,789",0,Cardiff Central,"30,630",[z],[z],[z],[z],3830,DNS,Wales,TfW Rail,[z],,
Dingle Road,"95,072","6,568","15,650","117,290","1,539",0,Cardiff Central,"58,898",[z],[z],[z],[z],3861,DGL,Wales,TfW Rail,[z],,
Dingwall,"40,860","12,488","2,188","55,536","1,906",304,Inverness,"22,720",[z],[z],[z],[z],8632,DIN,Scotland,ScotRail,[z],,
Dinsdale,"16,878","39,054","13,538","69,470","1,800",0,Darlington,"29,790",[z],[z],[z],[z],7897,DND,North East,Northern Trains,[z],,
Dinting,"35,204","23,984","20,934","80,122","1,738",0,Manchester Piccadilly,"31,910",[z],[z],PTE,[z],2893,DTG,East Midlands,Northern Trains,[z],,
Disley,"38,138","48,964","24,342","111,444","1,569",0,Manchester Piccadilly,"57,966",[z],[z],PTE,[z],2765,DSL,North West,Northern Trains,[z],,
Diss,"109,794","386,348","63,824","559,966",709,0,London Liverpool Street,"224,104",[z],[z],[z],[z],7348,DIS,East of England,Greater Anglia,[z],,
Dockyard (Devonport),"2,768","5,754",438,"8,960","2,345",0,Plymouth,"2,690",[z],[z],[z],[z],3588,DOC,South West,Great Western Railway,[z],,
Dodworth,"18,414","14,532","5,670","38,616","2,038",0,Sheffield,"9,938",[z],[z],PTE,South Yorkshire,6781,DOD,Yorkshire and The Humber,Northern Trains,[z],,
Dolau,352,328,0,680,"2,530",0,Shrewsbury,252,[z],[z],[z],[z],4188,DOL,Wales,TfW Rail,[z],,
Doleham,128,78,344,550,"2,539",0,Bexhill,232,[z],[z],[z],[z],5036,DLH,South East,Govia Thameslink Railway (Southern),[z],,
Dolgarrog,446,188,0,634,"2,532",0,Llandudno,122,[z],[z],[z],[z],2538,DLG,Wales,TfW Rail,[z],,
Dolwyddelan,"2,066","1,470",10,"3,546","2,431",0,Llandudno,"1,170",[z],[z],[z],[z],2452,DWD,Wales,TfW Rail,[z],,
Doncaster,"486,954","2,890,278","257,290","3,634,522",126,"987,406",London Kings Cross,"768,924",[z],[z],PTE,South Yorkshire,6417,DON,Yorkshire and The Humber,London North Eastern Railway,[z],,
Dorchester South,"76,208","309,428","10,250","395,886",873,405,Weymouth,"83,560",[z],[z],"Group, HEx",[z],5961,DCH,South West,South Western Railway,DORCHESTER BR,,
Dorchester West,"15,822","64,246","2,128","82,196","1,724",43,Weymouth,"9,194",[z],[z],"Group, HEx",[z],5962,DCW,South West,Great Western Railway,DORCHESTER BR,,
Dore and Totley,"55,028","104,510","7,320","166,858","1,357",0,Manchester Piccadilly,"67,004",[z],[z],PTE,South Yorkshire,6690,DOR,Yorkshire and The Humber,Northern Trains,[z],,
Dorking (Deepdene),"115,046","240,038","66,488","421,572",845,"217,626",Guildford,"27,170",[z],[z],"Group, HEx",[z],5412,DPD,South East,Great Western Railway,DORKING BR,,
Dorking (Main),"189,756","395,914","109,664","695,334",611,"74,693",London Waterloo,"201,500",[z],[z],"Group, HEx",[z],5357,DKG,South East,Govia Thameslink Railway (Southern),DORKING BR,,
Dorking West,"9,128","19,048","5,276","33,452","2,077",249,Reigate,78,[z],[z],"Group, HEx",[z],5297,DKT,South East,Great Western Railway,DORKING BR,,
Dormans,"32,804","31,962","38,094","102,860","1,619",0,London Victoria,"36,928",[z],[z],[z],[z],5413,DMS,South East,Govia Thameslink Railway (Southern),[z],,
Dorridge,"122,200","302,086","150,998","575,284",692,0,Birmingham Moor Street,"272,806",[z],[z],PTE,Transport for West Midlands,4525,DDG,West Midlands,Chiltern Railways,[z],,
Dove Holes,"2,480","5,130","4,036","11,646","2,306",0,Buxton,"5,084",[z],[z],[z],[z],2766,DVH,East Midlands,Northern Trains,[z],,
Dover Priory,"186,744","555,790","153,054","895,588",504,"70,905",London St Pancras International,"227,488",[z],[z],[z],[z],5033,DVP,South East,Southeastern,[z],,
Dovercourt,"30,084","56,512","43,746","130,342","1,489",0,Colchester,"51,528",[z],[z],[z],[z],6901,DVC,East of England,Greater Anglia,[z],,
Dovey Junction,"8,406",784,0,"9,190","2,341","4,370",Aberystwyth,"3,954",[z],[z],[z],[z],4436,DVY,Wales,TfW Rail,[z],,
Downham Market,"99,018","216,442","70,810","386,270",883,0,Kings Lynn,"105,080",[z],[z],[z],[z],7055,DOW,East of England,Govia Thameslink Railway (Great Northern),[z],,
Drayton Green,"6,404","7,350","2,328","16,082","2,251",0,Greenford,"8,352",[z],[z],EL,[z],3099,DRG,London,Great Western Railway,[z],,
Drayton Park,"226,742","239,244","50,748","516,734",759,0,Old Street,"116,552",[z],[z],EL,[z],6000,DYP,London,Govia Thameslink Railway (Great Northern),[z],,
Drem,"53,676","42,902","6,192","102,770","1,621",0,Edinburgh,"80,606",[z],[z],[z],[z],9317,DRM,Scotland,ScotRail,[z],,
Driffield,"33,142","169,242","37,710","240,094","1,150",0,Hull,"87,314",[z],[z],[z],[z],8057,DRF,Yorkshire and The Humber,Northern Trains,[z],,
Drigg,"1,744","4,306",208,"6,258","2,377",0,Whitehaven,796,[z],[z],[z],[z],1994,DRI,North West,Northern Trains,[z],,
Droitwich Spa,"199,784","113,310","83,960","397,054",870,"34,666",Worcester Foregate Street,"115,280",[z],[z],[z],[z],4878,DTW,West Midlands,West Midlands Trains (West Midlands Railway),[z],,
Dronfield,"64,260","84,552","13,572","162,384","1,377",0,Sheffield,"63,378",[z],[z],[z],[z],6616,DRO,East Midlands,Northern Trains,[z],,
Drumchapel,"74,022","143,776","18,294","236,092","1,154",0,Glasgow Queen Street,"50,468",[z],[z],PTE,Strathclyde Partnership for Transport,9994,DMC,Scotland,ScotRail,[z],,
Drumfrochar,"13,590","26,476","6,914","46,980","1,968",0,Glasgow Central,"24,794",[z],[z],PTE,Strathclyde Partnership for Transport,9967,DFR,Scotland,ScotRail,[z],,
Drumgelloch,"74,368","110,978","39,086","224,432","1,193",0,Glasgow Queen Street,"108,544",[z],[z],PTE,Strathclyde Partnership for Transport,9757,DRU,Scotland,ScotRail,[z],,
Drumry,"39,994","82,982","13,146","136,122","1,470",0,Glasgow Queen Street,"29,486",[z],[z],PTE,Strathclyde Partnership for Transport,9993,DMY,Scotland,ScotRail,[z],,
Duddeston,"201,998","104,602","78,400","385,000",885,0,Birmingham New Street,"308,734",[z],[z],PTE,Transport for West Midlands,1040,DUD,West Midlands,West Midlands Trains (West Midlands Railway),[z],,
Dudley Port,"94,644","149,790","71,420","315,854",984,0,Birmingham New Street,"184,170",[z],[z],PTE,Transport for West Midlands,1212,DDP,West Midlands,West Midlands Trains (West Midlands Railway),[z],,
Duffield,"23,810","20,380","3,292","47,482","1,966",0,Derby,"16,100",[z],[z],[z],[z],1691,DFI,East Midlands,East Midlands Railway,[z],,
Duirinish,470,144,0,614,"2,534",0,Inverness,270,[z],[z],[z],[z],8681,DRN,Scotland,ScotRail,[z],,
Duke Street,"45,158","88,952","11,964","146,074","1,430",0,Glasgow Queen Street,"66,238",[z],[z],PTE,Strathclyde Partnership for Transport,9906,DST,Scotland,ScotRail,[z],,
Dullingham,"11,356","5,910","8,048","25,314","2,154",0,Cambridge,"20,030",[z],[z],[z],[z],7027,DUL,East of England,Greater Anglia,[z],,
Dumbarton Central,"115,696","201,370","81,648","398,714",868,"50,889",Glasgow Queen Street,"129,922",[z],[z],PTE,Strathclyde Partnership for Transport,9866,DBC,Scotland,ScotRail,[z],,
Dumbarton East,"77,300","139,754","35,534","252,588","1,119",0,Glasgow Queen Street,"95,236",[z],[z],PTE,Strathclyde Partnership for Transport,9868,DBE,Scotland,ScotRail,[z],,
Dumbreck,"39,776","69,552","9,240","118,568","1,533",0,Glasgow Central,"80,324",[z],[z],[z],Strathclyde Partnership for Transport,9622,DUM,Scotland,ScotRail,[z],,
