"Table 1410: Passenger entries, exits and interchanges by station (annual), Great Britain, April 2022 to March 2023",,,,,,,,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,,,,,,,
"Some shorthand is used in this table, [x] = data not available, [z] = data not applicable",,,,,,,,,,,,,,,,,,,
Station name,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,Entries and exits - All tickets,"Entries and exits
Rank",Interchanges,Main origin or destination station,Number of journeys to or from main origin or destination station,Quality limitations,Additional information,Data source or adjustments,Estimates supplemented by local ticketing data – by retailing organisation,National Location Code (NLC),"Three Letter Code
(TLC)",Region,Station facility owner,Station group,,
Westerton,"137,720","319,398","56,284","513,402",761,"16,227",Glasgow Queen Street,"141,206",[z],[z],PTE,Strathclyde Partnership for Transport,9998,WES,Scotland,ScotRail,[z],,
Westgate-On-Sea,"28,012","63,616","37,878","129,506","1,492",0,Ramsgate,"24,918",[z],[z],[z],[z],5195,WGA,South East,Southeastern,[z],,
Westhoughton,"75,562","63,240","41,228","180,030","1,308",0,Bolton,"39,780",[z],[z],PTE,Transport for Greater Manchester,2619,WHG,North West,Northern Trains,[z],,
Weston Milton,"45,782","41,908","6,396","94,086","1,660",0,Bristol Temple Meads,"33,744",[z],[z],[z],[z],3388,WNM,South West,Great Western Railway,[z],,
Weston-Super-Mare,"235,848","640,196","63,760","939,804",477,"6,498",Bristol Temple Meads,"256,092",[z],[z],[z],[z],3391,WSM,South West,Great Western Railway,[z],,
Wetheral,"6,840","20,366","3,460","30,666","2,109",0,Carlisle,"19,976",[z],[z],[z],[z],7572,WRL,North West,Northern Trains,[z],,
Weybridge,"779,856","618,200","282,924","1,680,980",284,"473,962",London Waterloo,"815,096",[z],[z],[z],[z],5577,WYB,South East,South Western Railway,[z],,
Weymouth,"99,830","529,260","12,522","641,612",643,"6,596",Dorchester South,"83,560",[z],[z],[z],[z],5965,WEY,South West,South Western Railway,[z],,
Whaley Bridge,"24,806","65,464","15,572","105,842","1,600",0,Manchester Piccadilly,"43,772",[z],[z],PTE,[z],2772,WBR,East Midlands,Northern Trains,[z],,
Whalley (Lancashire),"18,890","55,292","9,994","84,176","1,713",0,Manchester Victoria,"24,498",[z],[z],[z],[z],2736,WHE,North West,Northern Trains,[z],,
Whatstandwell,"7,536","16,562",850,"24,948","2,158",0,Derby,"9,660",[z],[z],[z],[z],1585,WTS,East Midlands,East Midlands Railway,[z],,
Whifflet,"57,230","92,096","18,674","168,000","1,352","2,671",Glasgow Central,"63,090",[z],[z],[z],Strathclyde Partnership for Transport,9753,WFF,Scotland,ScotRail,[z],,
Whimple,"9,134","25,654","5,020","39,808","2,027",0,Exeter Central,"22,728",[z],[z],[z],[z],5759,WHM,South West,South Western Railway,[z],,
Whinhill,"8,394","17,068","1,842","27,304","2,137",0,Glasgow Central,"14,156",[z],[z],PTE,Strathclyde Partnership for Transport,9665,WNL,Scotland,ScotRail,[z],,
Whiston,"53,572","97,466","51,886","202,924","1,242",0,Liverpool Lime Street,"97,610",[z],[z],PTE,Merseytravel,2161,WHN,North West,Northern Trains,[z],,
Whitby,"20,050","79,306","27,010","126,366","1,501",0,Middlesbrough,"25,410",[z],[z],[z],[z],8184,WTB,Yorkshire and The Humber,Northern Trains,[z],,
Whitchurch (Cardiff),"14,128",892,"3,168","18,188","2,230",0,Cardiff Central,"6,752",[z],[z],[z],[z],3896,WHT,Wales,TfW Rail,[z],,
Whitchurch (Hampshire),"31,996","110,144","37,178","179,318","1,311",0,London Waterloo,"95,972",[z],[z],[z],[z],5527,WCH,South East,South Western Railway,[z],,
Whitchurch (Shropshire),"64,312","47,610","4,552","116,474","1,545",0,Shrewsbury,"27,232",[z],[z],[z],[z],1348,WTC,West Midlands,TfW Rail,[z],,
White Hart Lane,"556,446","1,184,782","249,976","1,991,204",239,0,Seven Sisters,"655,206",[z],[z],EL,[z],6956,WHL,London,London Overground,[z],,
White Notley,"3,250","3,456","1,422","8,128","2,356",0,Chelmsford,"2,176",[z],[z],[z],[z],6846,WNY,East of England,Greater Anglia,[z],,
Whitechapel,"6,824,148","13,151,620","3,331,442","23,307,210",14,579,London Liverpool Street,"3,229,582",Interchanges figure a known underestimate. It does not include interchanges to or from Elizabeth line services ,Additional services following the opening of the central section of the Elizabeth line in May 2022,EL,[z],4935,ZLW,London,London Underground,[z],,
Whitecraigs,"76,944","127,282","10,606","214,832","1,211",0,Glasgow Central,"171,884",[z],[z],[z],Strathclyde Partnership for Transport,9777,WCR,Scotland,ScotRail,[z],,
Whitehaven,"59,532","164,302","17,054","240,888","1,145",0,Carlisle,"61,980",[z],[z],[z],[z],2048,WTH,North West,Northern Trains,[z],,
Whitland,"23,894","8,182","3,274","35,350","2,063","1,589",Carmarthen,"12,700",[z],[z],[z],[z],4111,WTL,Wales,TfW Rail,[z],,
Whitley Bridge,740,90,76,906,"2,516",0,Leeds,468,[z],[z],[z],[z],8130,WBD,Yorkshire and The Humber,Northern Trains,[z],,
Whitlocks End,"58,146","71,606","16,972","146,724","1,428",0,Birmingham Moor Street,"82,104",[z],[z],PTE,Transport for West Midlands,4539,WTE,West Midlands,West Midlands Trains (West Midlands Railway),[z],,
Whitstable,"116,150","448,800","156,080","721,030",597,0,London St Pancras International,"230,142",[z],[z],[z],[z],5196,WHI,South East,Southeastern,[z],,
Whittlesea,"19,460","11,202","3,076","33,738","2,073",0,Peterborough,"10,696",[z],[z],[z],[z],7187,WLE,East of England,Greater Anglia,[z],,
Whittlesford Parkway,"93,170","202,816","80,446","376,432",892,0,London Liverpool Street,"161,560",[z],[z],[z],[z],7047,WLF,East of England,Greater Anglia,[z],,
Whitton (London),"389,084","478,442","142,416","1,009,942",448,0,London Waterloo,"339,204",[z],[z],EL,[z],5611,WTN,London,South Western Railway,[z],,
Whitwell (Derbyshire),"7,026","4,706","1,058","12,790","2,292",0,Nottingham,"4,150",[z],[z],[z],[z],6551,WWL,East Midlands,East Midlands Railway,[z],,
Whyteleafe,"93,436","113,838","25,786","233,060","1,162",0,London Bridge,"96,768",[z],[z],[z],[z],5396,WHY,South East,Govia Thameslink Railway (Southern),[z],,
Whyteleafe South,"43,772","44,882","15,186","103,840","1,614",0,London Bridge,"35,154",[z],[z],[z],[z],5439,WHS,South East,Govia Thameslink Railway (Southern),[z],,
Wick,"7,484","6,442",998,"14,924","2,260",0,Inverness,"6,236",[z],[z],[z],[z],8680,WCK,Scotland,ScotRail,[z],,
Wickford,"610,930","456,884","436,938","1,504,752",303,"361,285",London Liverpool Street,"804,762",[z],[z],[z],[z],6891,WIC,East of England,Greater Anglia,[z],,
Wickham Market,"15,014","38,006","4,254","57,274","1,891",0,London Liverpool Street,"18,898",[z],[z],[z],[z],7227,WCM,East of England,Greater Anglia,[z],,
Widdrington,"1,714",78,700,"2,492","2,458",0,Newcastle,"1,366",[z],[z],[z],[z],7695,WDD,North East,Northern Trains,[z],,
Widnes,"150,018","210,256","16,594","376,868",890,0,Liverpool Lime Street,"139,288",[z],[z],[z],[z],2391,WID,North West,Northern Trains,[z],,
Widney Manor,"74,438","91,732","75,080","241,250","1,144",0,Birmingham Moor Street,"142,254",[z],[z],PTE,Transport for West Midlands,4528,WMR,West Midlands,West Midlands Trains (West Midlands Railway),[z],,
Wigan North Western,"275,142","765,188","142,634","1,182,964",379,"694,621",London Euston,"215,838",[z],[z],"Group, HEx",Transport for Greater Manchester,2363,WGN,North West,Avanti West Coast,WIGAN BR,,
Wigan Wallgate,"253,582","705,224","131,458","1,090,264",416,"271,377",Manchester Victoria,"244,532",[z],[z],"Group, HEx",Transport for Greater Manchester,2406,WGW,North West,Northern Trains,WIGAN BR,,
Wigton,"17,030","39,360","6,864","63,254","1,851",0,Carlisle,"34,700",[z],[z],[z],[z],2098,WGT,North West,Northern Trains,[z],,
Wildmill,"15,510","4,872","3,266","23,648","2,172",0,Cardiff Central,"10,870",[z],[z],[z],[z],3965,WMI,Wales,TfW Rail,[z],,
Willesden Junction,"1,975,832","3,379,508","1,012,418","6,367,758",60,"1,972,936",Wembley Central,"495,854",[z],[z],EL,[z],1457,WIJ,London,London Overground,[z],,
Williamwood,"52,030","95,378","15,496","162,904","1,372",0,Glasgow Central,"104,680",[z],[z],PTE,Strathclyde Partnership for Transport,9781,WLM,Scotland,ScotRail,[z],,
Willington,"13,802","13,070",802,"27,674","2,133",0,Birmingham New Street,"9,314",[z],[z],[z],[z],1905,WIL,East Midlands,East Midlands Railway,[z],,
Wilmcote,"5,110","9,590","1,876","16,576","2,247",0,Stratford-Upon-Avon,"5,778",[z],[z],[z],[z],4568,WMC,West Midlands,West Midlands Trains (West Midlands Railway),[z],,
Wilmslow,"317,878","533,348","141,618","992,844",455,"90,395",Manchester Piccadilly,"348,958",[z],[z],[z],[z],2774,WML,North West,Northern Trains,[z],,
Wilnecote (Staffs),"56,518","6,924","11,286","74,728","1,767",0,Birmingham New Street,"58,818",[z],[z],PTE,[z],1056,WNE,West Midlands,West Midlands Trains (West Midlands Railway),[z],,
Wimbledon,"3,729,400","5,872,068","2,092,408","11,693,876",31,"1,153,942",London Waterloo,"2,218,584",[z],[z],[z],[z],5578,WIM,London,South Western Railway,[z],,
Wimbledon Chase,"98,050","88,462","47,136","233,648","1,160",0,Wimbledon,"27,538",[z],[z],[z],[z],5612,WBO,London,Govia Thameslink Railway (Thameslink),[z],,
Winchelsea,"1,618","7,364","3,022","12,004","2,301",0,London St Pancras International,"4,666",[z],[z],[z],[z],5042,WSE,South East,Govia Thameslink Railway (Southern),[z],,
Winchester,"716,448","2,270,022","737,274","3,723,744",121,"81,031",London Waterloo,"1,080,344",[z],[z],[z],[z],5924,WIN,South East,South Western Railway,[z],,
Winchfield,"61,590","85,470","67,796","214,856","1,210",0,London Waterloo,"111,576",[z],[z],[z],[z],5528,WNF,South East,South Western Railway,[z],,
Winchmore Hill,"480,534","565,266","125,040","1,170,840",381,0,Finsbury Park,"263,892",[z],[z],EL,[z],6024,WIH,London,Govia Thameslink Railway (Great Northern),[z],,
Windermere,"6,194","297,978","12,052","316,224",982,0,Kendal,"43,244",[z],[z],[z],[z],1978,WDM,North West,Northern Trains,[z],,
Windsor and Eton Central,"367,866","1,050,204","162,096","1,580,166",293,"31,942",London Paddington,"552,462",[z],[z],EL,[z],3175,WNC,South East,Great Western Railway,[z],,
Windsor and Eton Riverside,"307,718","681,372","69,370","1,058,460",433,"42,234",London Waterloo,"398,996",[z],[z],[z],[z],5672,WNR,South East,South Western Railway,[z],,
Winnersh,"84,270","137,182","88,838","310,290",993,0,Reading,"97,070",[z],[z],[z],[z],5697,WNS,South East,South Western Railway,[z],,
Winnersh Triangle,"78,080","73,718","27,334","179,132","1,314",0,Reading,"57,796",[z],[z],[z],[z],5698,WTI,South East,South Western Railway,[z],,
Winsford,"56,526","110,158","7,486","174,170","1,329",0,Liverpool Lime Street,"62,158",[z],[z],[z],[z],2269,WSF,North West,West Midlands Trains (London Northwestern Railway),[z],,
Wishaw,"109,916","158,684","37,648","306,248","1,004",0,Glasgow Central,"220,920",[z],[z],PTE,Strathclyde Partnership for Transport,9694,WSH,Scotland,ScotRail,[z],,
